title,url,author,price,thumbnail_path,scrape_date,listing_type,source_page,currency,is_free,thumbnail_url
Love and Sex: Second Base - Lively World,https://andrealphus.itch.io/lw,Andrealphus,Free,data/thumbnails/2025-12-18_Love_and_Sex__Second_Base_-_Lively_World.png,2025-12-18,,,,,
That's not my Neighbor,https://nachogames.itch.io/thats-not-my-neighbor,Nacho Sama,Free,data/thumbnails/2025-12-18_That_s_not_my_Neighbor.png,2025-12-18,,,,,
"""Voices Of The Void"" Pre-Alpha",https://mrdrnose.itch.io/votv,mrdrnose,Free,data/thumbnails/2025-12-18__Voices_Of_The_Void__Pre-Alpha.png,2025-12-18,,,,,
Sherwood (C64),https://psytronik.itch.io/sherwood,Psytronik Software,Free,data/thumbnails/2025-12-18_Sherwood__C64_.png,2025-12-18,,,,,
Dwarf Eats Mountain,https://greenwizardgames.itch.io/dwarf-eats-mountain,GreenWizardGames,Free,data/thumbnails/2025-12-18_Dwarf_Eats_Mountain.png,2025-12-18,,,,,
Love at The Milky Way Diner - Early Access,https://clumsycatstudio.itch.io/love-at-the-milky-way-diner,Clumsy Cat Studio,Free,data/thumbnails/2025-12-18_Love_at_The_Milky_Way_Diner_-_Early_Access.png,2025-12-18,,,,,
The Freak Circus,https://garula.itch.io/the-freak-circus,Garula,Free,data/thumbnails/2025-12-18_The_Freak_Circus.png,2025-12-18,,,,,
Dead Trust,https://hexnut-studios.itch.io/dead-trust,Hexnut Studios,Free,data/thumbnails/2025-12-18_Dead_Trust.png,2025-12-18,,,,,
14 Days With You [DEMO],https://cutiesai.itch.io/14dayswithyou,cutiesai,Free,data/thumbnails/2025-12-18_14_Days_With_You__DEMO_.gif,2025-12-18,,,,,
"The World Is Doomed Unless I Can Raise My Power Level to 1,000,000 and Confront the Demon Lord",https://reav.itch.io/demon-lord,reav,Free,data/thumbnails/2025-12-18_The_World_Is_Doomed_Unless_I_Can_Raise_My_Power_Le.png,2025-12-18,,,,,
